Identificação;Tipo;Pavimento;Periodicidade
Barrilete;Barrilete;17º;Mensal
Bomba de incêndio;Bombas de incêndio;17º;Mensal
Bomba de recalque de água potável;Bombas de água e esgoto;17º;Mensal
Casa de máquinas dos elevadores;Casa de Máquinas;17º;Mensal
Catracas;Catracas;Geral;Mensal
Dedetização e desratização;Dedetização e desratização;Geral;Trimestral
Elevadores;Elevadores;Geral;Mensal
Esquadrias de alumínio;Esquadrias;Geral;Anual
Extintores de incêndio;Extintores;Geral;Anual
Grupo Moto Gerador;Grupo Gerador;2° subsolo;Mensal
Impermeabilização;Impermeabilização;Geral;Anual
Limpeza da fachada de vidro/acm;Limpeza Fachada;Geral;Anual
Luminárias de emergência de led;Iluminação de emergência;Geral;Mensal
Mangueira de hidrante tipo 2 30 m;Mangueiras;Geral;Anual
Nobreak;Nobreaks;Geral;Anual
Paisagismo;Jardim;Térreo;Mensal
Paredes externas, fachada e muros;Paredes externas, fachada e muros;Geral;Anual
Pintura;Pintura;Geral;Anual
Poço de esgoto;Caixas de Esgoto;3° subsolo;Semestral
Porta corta fogo;Porta corta-fogo;Geral;Trimestral
Portas automáticas;Automação de portões;Geral;Trimestral
Pressurização de escada;Pressurização de escada;Geral;Mensal
Quadro de distribuição de circuitos;Quadro de distribuição de circuitos;Geral;Trimestral
Ralos, grelhas, calhas e canaletas;Ralos, grelhas, calhas e canaletas;Geral;Mensal
Registros de água e incêndio;Registros de água e incêndio;Geral;Semestral
Rejuntamento e vedações;Rejuntamento e vedações;Geral;Anual
Reservatório de água potável;Reservatórios de água potável;Geral;Semestral
Revestimentos Cerâmicos, Mármores e Granitos;Revestimentos Cerâmicos, Mármores e Granitos;Geral;Anual
Sistema de CFTV / PABX / Monitoramento;Cftv, sca, sai e bms;Geral;Mensal
Sistema de hidrantes;Sistema de Hidrantes e SPK;Geral;Mensal
Sistema de incêndio;Sistema de Incêndio;Geral;Trimestral
Sistema de Proteção contra Descargas Atmosférica;SPDA;Geral;Anual
Torneira / registro / válvula etc.;Metais, acessórios e registros;Geral;Semestral
Válvulas redutoras de pressão (VRP);Válvulas redutoras de pressão;Mezanino;Semestral
Ventiladores e Exaustores;Ventiladores e Exaustores;Geral;Mensal
Vidros e seus sistemas de fixação;Vidros e seus sistemas de fixação;Geral;Anual
